title,body,labels,milestone
Task 4.1.1 — Object Property Identity Panel,"Implements the core identity panel for object properties.

### Subtasks
- [ ] 4.1.1.1 Render property label
- [ ] 4.1.1.2 Render canonical IRI
- [ ] 4.1.1.3 Render ontology prefix
- [ ] 4.1.1.4 Render property type indicators
","phase:4-ux-accessibility,section:4.1-properties,type:feature,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.1.2 — Domain & Range Panels,"Renders property domain and range panels.

### Subtasks
- [ ] 4.1.2.1 Render domain class links
- [ ] 4.1.2.2 Render range class links
- [ ] 4.1.2.3 Support multi-domain and multi-range
","phase:4-ux-accessibility,section:4.1-properties,type:feature,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.1.3 — OWL Property Characteristics,"Renders OWL property characteristics.

### Subtasks
- [ ] 4.1.3.1 Render owl:FunctionalProperty
- [ ] 4.1.3.2 Render owl:InverseFunctionalProperty
- [ ] 4.1.3.3 Render owl:TransitiveProperty
- [ ] 4.1.3.4 Render owl:SymmetricProperty
","phase:4-ux-accessibility,section:4.1-properties,type:feature,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.1.99 — Unit Tests: Object Property Views,Unit tests for object property documentation views.,"phase:4-ux-accessibility,section:4.1-properties,type:testing,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.2.1 — Datatype Range Rendering,"Renders XSD datatype ranges for data properties.

### Subtasks
- [ ] 4.2.1.1 Render XSD datatype IRIs
- [ ] 4.2.1.2 Render human-readable datatype labels
","phase:4-ux-accessibility,section:4.2-datatypes,type:feature,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.2.2 — Cardinality & Restriction Support,"Renders OWL cardinality and restriction constraints.

### Subtasks
- [ ] 4.2.2.1 Render owl:minCardinality
- [ ] 4.2.2.2 Render owl:maxCardinality
- [ ] 4.2.2.3 Render owl:allValuesFrom
","phase:4-ux-accessibility,section:4.2-datatypes,type:feature,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.2.99 — Unit Tests: Data Property Constraints,Unit tests for datatype ranges and cardinality rendering.,"phase:4-ux-accessibility,section:4.2-datatypes,type:testing,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.3.1 — Individual Identity Panel,"Renders the identity panel for named individuals.

### Subtasks
- [ ] 4.3.1.1 Render individual label
- [ ] 4.3.1.2 Render canonical IRI
- [ ] 4.3.1.3 Render ontology prefix
","phase:4-ux-accessibility,section:4.3-individuals,type:feature,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.3.2 — Class Membership Panel,"Renders class memberships for individuals.

### Subtasks
- [ ] 4.3.2.1 Render asserted class memberships
- [ ] 4.3.2.2 Render inferred class memberships
","phase:4-ux-accessibility,section:4.3-individuals,type:feature,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
Task 4.3.3 — Attached Data Value Panel,"Renders literal data properties for individuals.

### Subtasks
- [ ] 4.3.3.1 Render associated data properties
- [ ] 4.3.3.2 Render literal values
","phase:4-ux-accessibility,section:4.3-individuals,type:feature,ontology:canonical-query","Phase 4 – Property Documentation, UX Enhancements & Accessibility"
