title,body,labels,milestone
Task 3.1.1 — Class Node Projection,"Projects all ontology classes into graph nodes.

### Subtasks
- [ ] 3.1.1.1 Project each class as a graph node
- [ ] 3.1.1.2 Assign stable node identifiers
- [ ] 3.1.1.3 Attach label and ontology-origin metadata
","phase:3-graph-visualization,section:3.1-graph-projection,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.1.2 — Subclass Edge Projection,"Projects rdfs:subClassOf relationships as directed graph edges.

### Subtasks
- [ ] 3.1.2.1 Project subClassOf as directed edges
- [ ] 3.1.2.2 Prevent edge duplication
- [ ] 3.1.2.3 Preserve inheritance depth metadata
","phase:3-graph-visualization,section:3.1-graph-projection,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.1.3 — Object Property Edge Projection,"Projects object properties as domain→range graph edges.

### Subtasks
- [ ] 3.1.3.1 Project domain to range edges
- [ ] 3.1.3.2 Label edges with property names
- [ ] 3.1.3.3 Support multi-domain and multi-range properties
","phase:3-graph-visualization,section:3.1-graph-projection,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.1.99 — Unit Tests: Graph Projection,"Unit tests for class nodes, subclass edges, and property edge projection.","phase:3-graph-visualization,section:3.1-graph-projection,type:testing,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.2.1 — Graph Rendering Hook,"Implements the LiveView JS hook for graph rendering.

### Subtasks
- [ ] 3.2.1.1 Initialize graph via JS hook
- [ ] 3.2.1.2 Mount SVG or Canvas renderer
- [ ] 3.2.1.3 Support resizing and redraw
","phase:3-graph-visualization,section:3.2-rendering,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.2.2 — Physics & Layout Configuration,"Configures force-directed physics and layout rules.

### Subtasks
- [ ] 3.2.2.1 Configure force-directed layout
- [ ] 3.2.2.2 Prevent label overlap
- [ ] 3.2.2.3 Apply ontology-origin color encoding
","phase:3-graph-visualization,section:3.2-rendering,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.2.3 — Viewport Controls,"Implements pan, zoom, and reset viewport controls.

### Subtasks
- [ ] 3.2.3.1 Pan behavior
- [ ] 3.2.3.2 Zoom behavior
- [ ] 3.2.3.3 Reset view positioning
","phase:3-graph-visualization,section:3.2-rendering,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.2.99 — Unit Tests: Graph Rendering,"Unit tests for graph rendering, zooming, and layout stabilization.","phase:3-graph-visualization,section:3.2-rendering,type:testing,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.3.1 — Sidebar to Graph Synchronization,"Synchronizes sidebar selection with graph highlighting.

### Subtasks
- [ ] 3.3.1.1 Selecting a class highlights its node
- [ ] 3.3.1.2 Auto-zoom to selected node
","phase:3-graph-visualization,section:3.3-sync,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.3.2 — Graph to Documentation Synchronization,"Synchronizes graph node selection with documentation panels.

### Subtasks
- [ ] 3.3.2.1 Clicking a node opens class detail view
- [ ] 3.3.2.2 Trigger LiveView navigation event
","phase:3-graph-visualization,section:3.3-sync,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.3.99 — Unit Tests: Sync Behavior,Unit tests for sidebar↔graph synchronization.,"phase:3-graph-visualization,section:3.3-sync,type:testing,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.4.1 — Search-Based Graph Filtering,"Filters visible graph nodes based on text search.

### Subtasks
- [ ] 3.4.1.1 Filter nodes by text query
- [ ] 3.4.1.2 Dim non-matching nodes
- [ ] 3.4.1.3 Preserve layout stability during filter
","phase:3-graph-visualization,section:3.4-filtering,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.4.2 — Ontology-Origin View Layers,"Toggles graph visibility by ontology origin.

### Subtasks
- [ ] 3.4.2.1 Toggle visibility per ontology
- [ ] 3.4.2.2 Color-code by ontology
","phase:3-graph-visualization,section:3.4-filtering,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.4.3 — Neighborhood Focus Mode,"Implements K-hop neighborhood focus.

### Subtasks
- [ ] 3.4.3.1 Show only K-hop neighbors
- [ ] 3.4.3.2 Fade distant graph regions
","phase:3-graph-visualization,section:3.4-filtering,type:feature,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.4.99 — Unit Tests: Graph Filtering,"Unit tests for search filtering, ontology layers, and focus mode.","phase:3-graph-visualization,section:3.4-filtering,type:testing,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.99.1 — Visual Navigation Validation,"Integration tests for graph↔documentation navigation.

### Subtasks
- [ ] 3.99.1.1 Navigate from graph to class view
- [ ] 3.99.1.2 Navigate from class view to graph
","phase:3-graph-visualization,section:3.99-integration,type:testing,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
Task 3.99.2 — Filtering & Layout Stability Validation,"Integration tests for graph filtering and layout stability.

### Subtasks
- [ ] 3.99.2.1 Apply filtering without layout collapse
- [ ] 3.99.2.2 Reset filters without graph loss
","phase:3-graph-visualization,section:3.99-integration,type:testing,ontology:graph",Phase 3 – Interactive Graph Visualization Engine
